class                         precision     recall   f1-score    support
CENTER                           0.3333     0.5000     0.4000          2
CHAT                             0.5000     0.5000     0.5000          2
CHILDREN                         0.2500     0.5000     0.3333          2
CHRISTMAS                        1.0000     0.5000     0.6667          2
CLOCK                            1.0000     0.5000     0.6667          2
CLOSE                            0.3333     0.5000     0.4000          2
CONVINCE                         1.0000     0.5000     0.6667          2
COUNTRY                          0.6667     1.0000     0.8000          2
CRASH                            0.5000     0.5000     0.5000          2
DAY                              0.5000     1.0000     0.6667          2
DISCUSS                          0.6667     1.0000     0.8000          2
DRESS                            0.5000     0.5000     0.5000          2
DRIVE                            1.0000     0.5000     0.6667          2
DROP                             1.0000     1.0000     1.0000          2
EXAMPLE                          1.0000     0.5000     0.6667          2
FAT                              0.0000     0.0000     0.0000          2
FEEL                             1.0000     1.0000     1.0000          2
FOOTBALL                         0.4000     1.0000     0.5714          2
FUTURE                           1.0000     0.5000     0.6667          2
GAME                             0.5000     0.5000     0.5000          2
GIRL                             0.6667     1.0000     0.8000          2
GOVERNMENT                       0.2500     0.5000     0.3333          2
HEAR                             0.5000     0.5000     0.5000          2
HERE                             0.3333     0.5000     0.4000          2
HOPE                             0.5000     0.5000     0.5000          2
HOUSE                            0.0000     0.0000     0.0000          2
HUSBAND                          1.0000     0.5000     0.6667          2
INTEREST                         0.5000     0.5000     0.5000          2
JOIN                             1.0000     0.5000     0.6667          2
LIGHT                            0.3333     0.5000     0.4000          2
LIVE                             1.0000     1.0000     1.0000          2
MAKE                             1.0000     1.0000     1.0000          2
MEAN                             1.0000     0.5000     0.6667          2
MORE                             1.0000     0.5000     0.6667          2
MOST                             1.0000     1.0000     1.0000          2
MUSIC                            0.0000     0.0000     0.0000          2
NEW                              1.0000     1.0000     1.0000          2
NONE                             1.0000     1.0000     1.0000          2
OFFICE                           0.6667     1.0000     0.8000          2
ORDER                            1.0000     0.5000     0.6667          2
PANTS                            0.5000     1.0000     0.6667          2
PARTY                            0.0000     0.0000     0.0000          2
PAST                             0.0000     0.0000     0.0000          2
PENCIL                           0.5000     1.0000     0.6667          2
PLAN                             0.4000     1.0000     0.5714          2
PLEASE                           0.0000     0.0000     0.0000          2
PRACTICE                         0.5000     0.5000     0.5000          2
PRESIDENT                        0.6667     1.0000     0.8000          2
RESTAURANT                       0.3333     0.5000     0.4000          2
RIDE                             1.0000     0.5000     0.6667          2
RUSSIA                           1.0000     0.5000     0.6667          2
SALT                             0.3333     0.5000     0.4000          2
SANDWICH                         0.6667     1.0000     0.8000          2
SIGN                             1.0000     0.5000     0.6667          2
SINCE                            1.0000     1.0000     1.0000          2
SMALL                            0.0000     0.0000     0.0000          2
SOME                             0.0000     0.0000     0.0000          2
SOUTH                            0.0000     0.0000     0.0000          2
STUDENT                          1.0000     0.5000     0.6667          2
TEACH                            1.0000     1.0000     1.0000          2
THEORY                           1.0000     1.0000     1.0000          2
TOMATO                           0.6667     1.0000     0.8000          2
TRAIN                            0.0000     0.0000     0.0000          2
UGLY                             1.0000     0.5000     0.6667          2
WAR                              0.0000     0.0000     0.0000          2
WHERE                            1.0000     1.0000     1.0000          2
YOUR                             0.4000     1.0000     0.5714          2
ALWAYS                           1.0000     1.0000     1.0000          2
